iso_code,continent,location,date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,total_vaccinations_per_hundred,people_vaccinated_per_hundred,human_development_index,stringency_index,gdp_per_capita
TLS,Asia,Timor,2023-02-15,23418.0,17459.207,138.0,102.885,,,,,,0.606,,6570.102
TGO,Africa,Togo,2023-02-15,39362.0,4448.337,290.0,32.773,,,,,,0.515,,1429.813
TKL,Oceania,Tokelau,2022-12-05,,,,,,,,283.89,116.38,,,
TON,Oceania,Tonga,2023-02-15,16795.0,157157.963,13.0,121.647,,,,,,0.725,,5425.621
TTO,North America,Trinidad and Tobago,2023-02-15,188511.0,123125.869,4336.0,2832.056,,,,,,0.796,,28763.071
TUN,Africa,Tunisia,2023-02-15,1150606.0,93120.362,29326.0,2373.4,,,,,,0.74,,10849.297
TUR,Asia,Turkey,2023-02-15,17042722.0,199700.876,101492.0,1189.249,,,,,,0.82,,25129.341
TKM,Asia,Turkmenistan,2022-12-04,,,,,,,,128.86,57.97,0.715,,16389.023
TCA,North America,Turks and Caicos Islands,2023-02-15,6551.0,143266.413,38.0,831.037,,,,,,,,
TUV,Oceania,Tuvalu,2023-02-15,2805.0,247463.608,,,,,,,,,,3575.104
UGA,Africa,Uganda,2023-02-15,170464.0,3607.735,3630.0,76.826,,,,,,0.544,,1697.707
UKR,Europe,Ukraine,2023-02-15,5692468.0,143380.805,119138.0,3000.825,,,,,,0.779,,7894.393
ARE,Asia,United Arab Emirates,2023-02-15,1050621.0,111281.182,2348.0,248.699,,,,,,0.89,,67293.483
GBR,Europe,United Kingdom,2023-02-15,24315983.0,360189.101,217705.0,3224.832,,,,,,0.932,,39753.244
USA,North America,United States,2023-02-15,102995115.0,304458.183,1115564.0,3297.657,,,,,,0.926,,54225.446
VIR,North America,United States Virgin Islands,2022-06-19,,,,,,,1149.744,,,,,
URY,South America,Uruguay,2023-02-15,1033766.0,302023.842,7617.0,2225.374,,,,260.96,87.83,0.817,,20551.409
UZB,Asia,Uzbekistan,2023-02-15,250829.0,7243.605,1637.0,47.274,,,,,,0.72,,6253.104
VUT,Oceania,Vanuatu,2023-02-15,12014.0,36768.847,14.0,42.847,,,,,,0.609,,2921.909
VAT,Europe,Vatican,2023-02-15,29.0,35891.089,,,,,,,,,,
VEN,South America,Venezuela,2023-02-15,551874.0,19499.677,5851.0,206.737,,,,,,0.711,,16745.022
VNM,Asia,Vietnam,2023-02-15,11526773.0,117396.294,43186.0,439.835,,,,,,0.704,,6171.884
WLF,Oceania,Wallis and Futuna,2023-02-15,3427.0,295532.942,7.0,603.656,,,,,,,,
ESH,Africa,Western Sahara,2022-04-20,,,,,,,6.972,,,,,
YEM,Asia,Yemen,2023-02-15,11945.0,354.487,2159.0,64.072,,,,,,0.47,,1479.147
ZMB,Africa,Zambia,2023-02-15,342317.0,17100.741,4051.0,202.371,,,,,,0.584,,3689.251
ZWE,Africa,Zimbabwe,2023-02-15,263642.0,16154.001,5662.0,346.925,,,,,,0.571,,1899.775
